filename,imagename,imageID,url,img_P,paperTitle,ifHumanFace,numOfSeg,Number of distinct color names,colorNames,sp,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,0,Author,Paper Title,Paper URL,Paper DOI,Year,meanH,meanS,meanV,LAB avg.,the number of distinct colors congrong,the number of distinct colors(Rui),the number of distinct colors,the number of distinct colors2
2015 Berge 10.1109/SciVis.2015.7429489 c 2.png,bio722.png,I892,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio722.png,,,,2,10,"black, grey, brown, pink, white, tan, beige, peach, orange, yellow",12.38183433,1,56,31,1,251,I892,0.6437,0.004,bio722.png,3.020436272,1,892,252,77,2.4721,5.598,10.5857,146,Christian Schulte zu Berge;Denis Declara;Christoph Hennersperger;Maximilian Baust;Nassir Navab,Real-time Uncertainty Visualization for B-Mode Ultrasound,http://dx.doi.org/10.1109/SciVis.2015.7429489,10.1109/SciVis.2015.7429489,2015,0.0713186,0.139763977,0.347718053,"33.4435031904,1.96889963925,4.36794862353",6,5,5.5,2
2009 Chuang 10.1109/TVCG.2009.150 c 5.png,bio189.png,I780,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio189.png,,Hue-preserving color blending,,3,15,"grey, black, olive, maroon, brown, darkgreen, green, red, pink, yellow, orange, tan, beige, purple, mauve",20.0519111,1,46,10,13,233,I780,0.8214,0.0528,bio189.png,2.539004083,1,780,246,62,3.8401,4.8111,7.5714,34,Johnson Chuang;Daniel Weiskopf;Torsten M√∂ller,Hue-Preserving Color Blending,http://dx.doi.org/10.1109/TVCG.2009.150,10.1109/TVCG.2009.150,2009,0.047441214,0.618394917,0.441132711,"31.5798723398,20.4844224033,22.3823313796",3,2,2.5,1
2010 Zeng 10.1109/TVCG.2010.200 c 9.png,bio387.png,I826,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio387.png,,,,2,4,"white, grey, black, lightblue",22.73239933,1,61,14,12,227,I826,0.8133,0.0502,bio387.png,2.533040228,1,826,239,67,5.5512,4.4121,5.6646,80,Wei Zeng;Joseph Marino;Krishna Chaitanya Gurijala;Xianfeng Gu;Arie E. Kaufman,Supine and Prone Colon Registration Using Quasi-Conformal Mapping,http://dx.doi.org/10.1109/TVCG.2010.200,10.1109/TVCG.2010.200,2010,0.228883807,0.05854925,0.093324188,"8.96834027804,-1.14901476203,1.69321919376",6,7,6.5,2
2017 Mindek 10.1109/TVCG.2017.2744518 c 4.png,bio859.png,I921,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio859.png,,,,10,10,"white, grey, pink, lightpink, lightblue, purple, blue, mauve, navyblue, black",7.264854416,1,37,30,2,226,I921,0.5522,0.0088,bio859.png,2.505149236,1,921,228,85,2.0353,4.2166,2.2179,175,"Peter Mindek, David Kou≈ôil, Johannes Sorger, Daniel Toloudis, Blair Lyons, Graham Johnson, M. Eduard Gr√∂ller, Ivan Viola",Visualization Multi-Pipeline for Communicating Biology,http://dx.doi.org/10.1109/TVCG.2017.2744518,10.1109/TVCG.2017.2744518,2017,0.840756344,0.04650831,0.663042119,"66.8422901861,0.496108184683,-0.336458837979",7,6,6.5,2
2010 Kok 10.1109/TVCG.2010.134 c 3.png,bio315.png,I811,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio315.png,,,,3,16,"white, grey, pink, brown, maroon, green, olive, beige, red, tan, teal, lightblue, black, blue, yellow, salmon",14.83759374,1,32,12,7,231,I811,0.7273,0.0294,bio315.png,2.494353178,1,811,238,77,3.9777,2.1762,2.916,65,Peter Kok;Martin Baiker;Emile A. Hendriks;Frits H. Post;Jouke Dijkstra;Clemens W. G. M. L√∂wik;Boudewijn P. F. Lelieveldt;Charl P. Botha,Articulated Planar Reformation for Change Visualization in Small Animal Imaging,http://dx.doi.org/10.1109/TVCG.2010.134,10.1109/TVCG.2010.134,2010,0.064199877,0.257780365,0.824260872,"75.8008456487,6.20371558957,10.866907036",10,9,9.5,3
2009 Chen 10.1109/TVCG.2009.203 c 3.png,bio178.png,I777,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio178.png,,,,3,11,"pink, lavender, purple, grey, white, blue, lightblue, magenta, maroon, red, brown",24.0130163,1,29,25,2,230,I777,0.537,0.0086,bio178.png,2.475282951,1,777,232,70,10.1823,7.22,14.2893,31,Wei Chen;Zhicheng Yan;Song Zhang;John Allen Crow;David S. Ebert;Ronald M. McLaughlin;Katie B. Mullins;Robert Cooper;Zi'ang Ding;Jun Liao,Volume Illustration of Muscle from Diffusion Tensor Images,http://dx.doi.org/10.1109/TVCG.2009.203,10.1109/TVCG.2009.203,2009,0.012204812,0.079726961,0.794351587,"78.1155290221,3.26393281532,1.60727671369",6,5,5.5,2
2017 Klein 10.1109/TVCG.2017.2744258 c 9.png,bio847.png,I918,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio847.png,,,,2,15,"white, lightpink, pink, grey, lavender, purple, darkpurple, black, blue, navyblue, maroon, red, mauve, brown, lightblue",24.24966429,1,33,31,2,232,I918,0.5156,0.0085,bio847.png,2.425821106,1,918,234,71,4.9914,6.5149,17.7511,172,"Tobias Klein, Ludovic Autin, Barbora Kozl√≠kov√°, David S. Goodsell, Arthur Olson, M. Eduard Gr√∂ller, Ivan Viola",Instant Construction and Visualization of Crowded Biological Environments,http://dx.doi.org/10.1109/TVCG.2017.2744258,10.1109/TVCG.2017.2744258,2017,0.056931825,0.049343757,0.967177269,"95.169593535,1.83327674814,2.76055557824",3,2,2.5,1
2014 Glaßer 10.1109/TVCG.2014.2346406 c 2.png,bio668.png,I881,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio668.png,,,,7,19,"white, grey, black, navyblue, brown, blue, beige, lightblue, tan, peach, orange, lightgreen, offwhite, green, teal, yellow, salmon, red, purple",17.51658077,1,44,24,5,234,I881,0.6471,0.0209,bio668.png,2.413008634,1,881,236,67,4.8755,6.7669,5.4885,135,Sylvia Gla√üer;Kai Lawonn;Thomas Hoffmann;Martin Skalej;Bernhard Preim,Combined Visualization of Wall Thickness and Wall Shear Stress for the Evaluation of Aneurysms,http://dx.doi.org/10.1109/TVCG.2014.2346406,10.1109/TVCG.2014.2346406,2014,0.706400149,0.039726758,0.924622126,"90.8982062241,1.50141946479,-2.6404390278",3,3,3,1
2014 Born 10.1109/TVCG.2014.2346459 c 6.png,bio661.png,I878,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio661.png,,,,2,12,"white, grey, pink, brown, salmon, peach, beige, mauve, black, tan, lightpink, red",10.12261681,1,41,31,3,230,I878,0.5694,0.0129,bio661.png,2.404055847,1,878,229,71,3.5751,5.5461,5.7098,132,Silvia Born;Simon H. S√ºndermann;Christoph Russ;Raoul Hopf;Carlos E. Ruiz;Volkmar Falk;Michael Gessat,Stent Maps - Comparative Visualization for the Prediction of Adverse Events of Transcatheter Aortic Valve Implantations,http://dx.doi.org/10.1109/TVCG.2014.2346459,10.1109/TVCG.2014.2346459,2014,0.665161195,0.223687103,0.493402369,"45.1519884529,3.76281107521,-9.66146452302",9,8,8.5,3
2008 Cipriano 10.1109/TVCG.2008.168 c 1.png,bio22.png,I752,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio22.png,,,,2,12,"white, pink, grey, black, brown, tan, olive, darkgreen, yellow, green, beige, orange",22.35783869,1,46,11,17,205,I752,0.807,0.0766,bio22.png,2.29521338,1,752,219,75,4.5852,6.2473,6.9995,6,Gregory Cipriano;Michael Gleicher,Text Scaffolds for Effective Surface Labeling,http://dx.doi.org/10.1109/TVCG.2008.168,10.1109/TVCG.2008.168,2008,0.936390053,0.517207968,0.147920645,"10.7798603494,2.44566684423,-0.366136041928",4,2,3,1
2009 Ropinski 10.1109/TVCG.2009.169 c 3.png,bio255.png,I798,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio255.png,,,,2,3,"white, grey, black",13.49447799,1,30,35,2,228,I798,0.4615,0.0087,bio255.png,2.281489148,1,798,228,77,2.644,5.2754,3.3685,52,Timo Ropinski;Sven Hermann;Rainer Reich;Michael Sch√§fers;Klaus H. Hinrichs,Multimodal Vessel Visualization of Mouse Aorta PET/CT Scans,http://dx.doi.org/10.1109/TVCG.2009.169,10.1109/TVCG.2009.169,2009,0.209498244,0.049223467,0.428801338,"44.6071029671,-0.808794223144,1.39938885642",3,3,3,1
2017 Magnus 10.1109/TVCG.2017.2744438 c 1.png,bio848.png,I919,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio848.png,,,1,2,8,"grey, black, brown, pink, white, beige, tan, peach",9.397980313,1,28,26,3,216,I919,0.5185,0.0137,bio848.png,2.252160795,1,919,216,74,2.1928,6.3854,5.1972,173,"Jens G. Magnus, Stefan Bruckner",Interactive Dynamic Volume Illumination with Refraction and Caustics,http://dx.doi.org/10.1109/TVCG.2017.2744438,10.1109/TVCG.2017.2744438,2017,0.810267227,0.122500355,0.462139555,"44.8956575986,0.576979793931,-0.471454504004",7,9,8,3
