imagename,image_url,score,500A,500B,1A,1B,3A,3B,10A,10B,gist_url
sci1801.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1801.png,3.02,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/37-sci1801.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/43-sci1801.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci1801.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/26-sci1801.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio722.png
sci915.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci915.png,2.53,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci915.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci915.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci915.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio387.png
sci2302.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2302.png,2.51,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci2302.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci2302.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/1-sci2302.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci2302.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/26-sci2302.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio859.png
sci757.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci757.png,2.49,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci757.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci757.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci757.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci757.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci757.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio315.png
sci1624.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1624.png,2.4,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci1624.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci1624.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/2-sci1624.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci1624.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci1624.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci1624.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio661.png
sci56.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci56.png,2.3,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci56.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/43-sci56.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/5-sci56.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci56.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio22.png
sci756.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci756.png,2.24,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci756.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci756.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci756.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/14-sci756.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci756.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/26-sci756.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio314.png
sci2267.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2267.png,2.22,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci2267.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci2267.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci2267.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci2267.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio842.png
sci2131.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2131.png,2.15,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci2131.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci2131.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci2131.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci2131.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio794.png
sci1581.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1581.png,2.12,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci1581.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci1581.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/5-sci1581.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci1581.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio629.png
sci2166.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2166.png,2.12,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/37-sci2166.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci2166.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci2166.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci2166.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio801.png
sci825.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci825.png,2.09,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci825.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci825.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci825.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci825.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci825.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio351.png
sci1580.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1580.png,2.09,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci1580.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci1580.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci1580.png,none,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio628.png
sci315.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci315.png,2.05,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci315.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci315.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/21-sci315.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci315.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/26-sci315.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio144.png
sci1265.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1265.png,2.05,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci1265.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci1265.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci1265.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/18-sci1265.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci1265.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio534.png
sci23.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci23.png,2.01,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci23.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci23.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci23.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci23.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio6.png
