filename,imagename,imageID,url,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,fileindex,0
2015 Berge 10.1109/SciVis.2015.7429489 c 2.png,bio722.png,I892,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio722.png,1,56,31,1,251,I892,0.6437,0.004,bio722.png,3.020436272,1,892,252,77,2.4721,5.598,10.5857,146,146
2009 Chuang 10.1109/TVCG.2009.150 c 5.png,bio189.png,I780,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio189.png,1,46,10,13,233,I780,0.8214,0.0528,bio189.png,2.539004083,1,780,246,62,3.8401,4.8111,7.5714,34,34
2010 Zeng 10.1109/TVCG.2010.200 c 9.png,bio387.png,I826,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio387.png,1,61,14,12,227,I826,0.8133,0.0502,bio387.png,2.533040228,1,826,239,67,5.5512,4.4121,5.6646,80,80
2017 Mindek 10.1109/TVCG.2017.2744518 c 4.png,bio859.png,I921,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio859.png,1,37,30,2,226,I921,0.5522,0.0088,bio859.png,2.505149236,1,921,228,85,2.0353,4.2166,2.2179,175,175
2010 Kok 10.1109/TVCG.2010.134 c 3.png,bio315.png,I811,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio315.png,1,32,12,7,231,I811,0.7273,0.0294,bio315.png,2.494353178,1,811,238,77,3.9777,2.1762,2.916,65,65
2009 Chen 10.1109/TVCG.2009.203 c 3.png,bio178.png,I777,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio178.png,1,29,25,2,230,I777,0.537,0.0086,bio178.png,2.475282951,1,777,232,70,10.1823,7.22,14.2893,31,31
2017 Klein 10.1109/TVCG.2017.2744258 c 9.png,bio847.png,I918,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio847.png,1,33,31,2,232,I918,0.5156,0.0085,bio847.png,2.425821106,1,918,234,71,4.9914,6.5149,17.7511,172,172
2014 Glaßer 10.1109/TVCG.2014.2346406 c 2.png,bio668.png,I881,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio668.png,1,44,24,5,234,I881,0.6471,0.0209,bio668.png,2.413008634,1,881,236,67,4.8755,6.7669,5.4885,135,135
2014 Born 10.1109/TVCG.2014.2346459 c 6.png,bio661.png,I878,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio661.png,1,41,31,3,230,I878,0.5694,0.0129,bio661.png,2.404055847,1,878,229,71,3.5751,5.5461,5.7098,132,132
2008 Cipriano 10.1109/TVCG.2008.168 c 1.png,bio22.png,I752,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio22.png,1,46,11,17,205,I752,0.807,0.0766,bio22.png,2.29521338,1,752,219,75,4.5852,6.2473,6.9995,6,6
2009 Ropinski 10.1109/TVCG.2009.169 c 3.png,bio255.png,I798,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio255.png,1,30,35,2,228,I798,0.4615,0.0087,bio255.png,2.281489148,1,798,228,77,2.644,5.2754,3.3685,52,52
2017 Magnus 10.1109/TVCG.2017.2744438 c 1.png,bio848.png,I919,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio848.png,1,28,26,3,216,I919,0.5185,0.0137,bio848.png,2.252160795,1,919,216,74,2.1928,6.3854,5.1972,173,173
2010 Kok 10.1109/TVCG.2010.134 c 2.png,bio314.png,I810,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio314.png,1,29,14,8,210,I810,0.6744,0.0367,bio314.png,2.242431211,1,810,216,76,4.7132,4.5002,6.7815,64,64
2015 Kappe 10.1109/TVCG.2015.2467291 c 2.png,bio723.png,I893,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio723.png,1,40,34,4,233,I893,0.5405,0.0169,bio723.png,2.224143061,1,893,234,70,2.5672,5.3996,16.1995,147,147
2017 Klein 10.1109/TVCG.2017.2744258 c 4.png,bio842.png,I916,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio842.png,1,45,21,10,237,I916,0.6818,0.0405,bio842.png,2.217651238,1,916,243,61,6.5377,6.1876,16.2346,170,170
2009 Zachow 10.1109/TVCG.2009.198 c 8.png,bio285.png,I803,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio285.png,1,38,24,7,247,I803,0.6129,0.0276,bio285.png,2.204184152,1,803,250,61,5.8452,6.2112,16.0286,57,57
2010 Jeong 10.1109/TVCG.2010.168 c 5.png,bio308.png,I808,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio308.png,1,30,31,3,209,I808,0.4918,0.0142,bio308.png,2.171160473,1,808,208,67,2.7251,5.1056,14.0551,62,62
2010 Jeong 10.1109/TVCG.2010.168 c 3.png,bio306.png,I807,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio306.png,1,33,36,3,221,I807,0.4783,0.0134,bio306.png,2.159997866,1,807,222,61,2.4014,6.7312,17.1651,61,61
2016 Nadeem 10.1109/TVCG.2016.2598791 c 7.png,bio794.png,I905,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio794.png,1,51,11,25,202,I905,0.8226,0.1101,bio794.png,2.151315476,1,905,220,82,3.111,5.2457,4.8701,159,159
2011 Pelt 10.1109/TVCG.2011.215 c 1.png,bio470.png,I839,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio470.png,1,31,30,4,231,I839,0.5082,0.017,bio470.png,2.140627489,1,839,224,65,2.719,7.7309,5.1417,93,93
2013 Reh 10.1109/TVCG.2013.177 c 1.png,bio626.png,I872,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio626.png,1,30,29,4,228,I872,0.5085,0.0172,bio626.png,2.136659455,1,872,217,76,3.8709,3.8636,4.9958,126,126
2013 Ehlke 10.1109/TVCG.2013.159 c 4.png,bio574.png,I861,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio574.png,1,44,25,9,232,I861,0.6377,0.0373,bio574.png,2.135233586,1,861,218,67,5.3747,5.217,11.7591,115,115
2011 Ruiz 10.1109/TVCG.2011.173 c 8.png,bio492.png,I843,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio492.png,1,43,15,15,204,I843,0.7414,0.0685,bio492.png,2.134723625,1,843,208,81,3.3172,5.0812,8.3727,97,97
2016 Smit 10.1109/TVCG.2016.2598826 c 1.png,bio801.png,I907,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio801.png,1,28,27,4,218,I907,0.5091,0.018,bio801.png,2.119739725,1,907,200,77,2.2565,4.7628,2.338,161,161
2013 Zhang 10.1109/TVCG.2013.172 c 2.png,bio629.png,I874,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio629.png,1,48,12,23,204,I874,0.8,0.1013,bio629.png,2.115800194,1,874,201,77,1.667,3.4946,5.2967,128,128
2009 Jeong 10.1109/TVCG.2009.178 c 7.png,bio229.png,I788,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio229.png,1,33,16,11,210,I788,0.6735,0.0498,bio229.png,2.09639438,1,788,194,78,4.0716,6.6753,10.1306,42,42
