filename,url,Author,Paper Title,URL,Paper DOI,First Page,Last Pape,Year,FAR,score,meanH,meanS,meanV,colorfulness,edges,coarseness,contrast,directionality,entropy,feature congestion,url,colorfulness3,colorfulness2,familiarity,style,happiness,layout,interestingness,background,A,B,L,C,H,obcolor,thumburl,0
sci3.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci3.png,Sven Bachthaler;Daniel Weiskopf,Continuous Scatterplots,http://dx.doi.org/10.1109/TVCG.2008.119,10.1109/TVCG.2008.119,1428,1435,2008,0.0204,2.333487175,0.0495,0.232,0.3093,16.39,5.06,4.17,0.02,0.44,2.74,1.62,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci3.png,83.13,2,3.6,4.3,5.1,4.2,4.8,1,14.2958109,10.7938621,21.41913372,17.91305861,37.0541444,3,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci3.png,1
sci17.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci17.png,Wolfram von Funck;Tino Weinkauf;Holger Theisel;Hans-Peter Seidel,Smoke Surfaces: An Interactive Flow Visualization Technique Inspired by Real-World Flow Experiments,http://dx.doi.org/10.1109/TVCG.2008.163,10.1109/TVCG.2008.163,1396,1403,2008,0.0719,1.31841806,0.1267,0.0631,0.9169,17.04,5.42,4.44,0.01,0.31,4.7,2.49,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci17.png,34.96,5,3.4,4.1,5.2,4.3,5.1,0,3.34734884,2.06397723,89.6926334,3.932524157,31.6580077,5,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci17.png,2
sci25.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci25.png,Bernd Hentschel;Irene Tedjo;Markus Probst;Marc Wolter;Marek Behr;Christian H. Bischof;Torsten Kuhlen,Interactive Blood Damage Analysis for Ventricular Assist Devices,http://dx.doi.org/10.1109/TVCG.2008.142,10.1109/TVCG.2008.142,1515,1522,2008,0.0352,1.030023277,0.5438,0.0925,0.5757,13.08,5.92,4.48,0.01,0.28,6.17,1.95,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci25.png,35.08,3,2.8,4.3,4.2,4.6,4.4,2,4.26715797,1.48347147,56.90448856,4.517668067,19.16993549,3,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci25.png,3
sci37.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci37.png,Heike Leitte;Michael Böttinger;Gerik Scheuermann,Brushing of Attribute Clouds for the Visualization of Multivariate Data,http://dx.doi.org/10.1109/TVCG.2008.116,10.1109/TVCG.2008.116,1459,1466,2008,0.1477,0.793001745,0.1136,0.0831,0.9103,14.97,6.31,3.84,0.02,0.27,4.32,3.17,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci37.png,30.80,3,3.3,4.2,4.1,4.7,4.4,0,-2.5849062,1.3018948,90.17660957,2.894247805,153.2677697,3,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci37.png,4
sci38.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci38.png,Heike Leitte;Michael Böttinger;Gerik Scheuermann,Brushing of Attribute Clouds for the Visualization of Multivariate Data,http://dx.doi.org/10.1109/TVCG.2008.116,10.1109/TVCG.2008.116,1459,1466,2008,0.0268,1.812727015,0.1936,0.0947,0.9502,14.1,11.86,3.23,0.02,0.27,3.96,5.75,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci38.png,41.96,4,3.3,4,4.9,4.5,5.2,0,0.47708744,-3.5414818,92.01658254,3.573472532,277.672358,3,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci38.png,5
sci39.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci39.png,Heike Leitte;Michael Böttinger;Gerik Scheuermann,Brushing of Attribute Clouds for the Visualization of Multivariate Data,http://dx.doi.org/10.1109/TVCG.2008.116,10.1109/TVCG.2008.116,1459,1466,2008,0.0066,2.06995449,0.1062,0.0263,0.8944,16.73,6.36,4.22,0.03,0.25,3.38,3.29,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci39.png,14.76,5,3.7,4,4.3,4.4,4.5,0,0.4561626,0.95956609,89.32731957,1.062474188,64.57432167,3,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci39.png,6
sci41.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci41.png,Hongwei Li;Chi-Wing Fu;Andrew J. Hanson,Visualizing Multiwavelength Astrophysical Data,http://dx.doi.org/10.1109/TVCG.2008.182,10.1109/TVCG.2008.182,1555,1562,2008,0.0067,2.04213873,0.1214,0.2972,0.9132,17.6,5.29,3.54,0.02,0.31,2.67,3.3,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci41.png,37.88,4,3.3,3.9,4.6,4.6,4.6,2,0.38171822,26.1076396,85.35525192,26.11042998,89.16234157,4,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci41.png,7
sci47.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci47.png,Lars Linsen;Tran Van Long;Paul Rosenthal;Stephan Rosswog,Surface Extraction from Multi-field Particle Volume Data Using Multi-dimensional Cluster Visualization,http://dx.doi.org/10.1109/TVCG.2008.167,10.1109/TVCG.2008.167,1483,1490,2008,0.0247,1.454764063,0.1122,0.0736,0.936,15.37,3.76,3.09,0.02,0.29,2.35,2.32,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci47.png,30.68,5,3,3.7,3.9,3.8,4.1,0,0.48806983,-1.0864595,91.79992936,1.19105263,294.1910306,4,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci47.png,8
sci49.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci49.png,David Mayerich;Louise C. Abbott;John Keyser,Visualization of Cellular and Microvascular Relationships,http://dx.doi.org/10.1109/TVCG.2008.179,10.1109/TVCG.2008.179,1611,1618,2008,0.0855,0.855495377,0.0765,0.0971,0.1813,16.49,4.77,3.34,0.01,0.27,3.04,1.54,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci49.png,26.80,3,3.6,3.8,3.9,4.3,4,1,0.0040411,2.44683717,16.37870151,2.446840507,89.90537258,4,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci49.png,9
sci52.png,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci52.png,Jennis Meyer-Spradow;Lars Stegger;Christian Döring;Timo Ropinski;Klaus H. Hinrichs,Glyph-Based SPECT Visualization for the Diagnosis of Coronary Artery Disease,http://dx.doi.org/10.1109/TVCG.2008.136,10.1109/TVCG.2008.136,1499,1506,2008,0.0132,2.591326952,0.096,0.3215,0.8706,14.83,7.74,3.98,0.05,0.27,5.31,5.17,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci52.png,90.25,5,3.2,4.1,5.3,4.5,5.4,0,1.99860853,23.1749616,80.68478772,23.26098195,85.07100775,7,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci52.png,10
